timestamp,temperature,humidity
2024-08-08 12:04:34,22.0,50.0
2024-08-08 12:05:04,22.02,50.05
2024-08-08 12:05:34,22.03,50.1
2024-08-08 12:06:04,22.05,50.15
2024-08-08 12:06:34,22.07,50.19
2024-08-08 12:07:04,22.08,50.24
2024-08-08 12:07:34,22.1,50.28
2024-08-08 12:08:04,22.12,50.32
2024-08-08 12:08:34,22.13,50.36
2024-08-08 12:09:04,22.15,50.39
2024-08-08 12:09:34,22.17,50.42
2024-08-08 12:10:04,22.18,50.45
2024-08-08 12:10:34,22.2,50.47
2024-08-08 12:11:04,22.22,50.48
2024-08-08 12:11:34,22.23,50.49
2024-08-08 12:12:04,22.25,50.5
2024-08-08 12:12:34,22.27,50.5
2024-08-08 12:13:04,22.28,50.5
2024-08-08 12:13:34,22.3,50.49
2024-08-08 12:14:04,22.32,50.47
2024-08-08 12:14:34,22.33,50.45
2024-08-08 12:15:04,22.35,50.43
2024-08-08 12:15:34,22.37,50.4
2024-08-08 12:16:04,22.38,50.37
2024-08-08 12:16:34,22.4,50.34
2024-08-08 12:17:04,22.42,50.3
2024-08-08 12:17:34,22.43,50.26
2024-08-08 12:18:04,22.45,50.21
2024-08-08 12:18:34,22.47,50.17
2024-08-08 12:19:04,22.48,50.12
2024-08-08 12:19:34,22.5,50.07
2024-08-08 12:20:04,22.52,50.02
2024-08-08 12:20:34,22.53,49.97
2024-08-08 12:21:04,22.55,49.92
2024-08-08 12:21:34,22.57,49.87
2024-08-08 12:22:04,22.58,49.82
2024-08-08 12:22:34,22.6,49.78
2024-08-08 12:23:04,22.62,49.74
2024-08-08 12:23:34,22.63,49.69
2024-08-08 12:24:04,22.65,49.66
2024-08-08 12:24:34,22.67,49.62
2024-08-08 12:25:04,22.68,49.59
2024-08-08 12:25:34,22.7,49.56
2024-08-08 12:26:04,22.72,49.54
2024-08-08 12:26:34,22.73,49.52
2024-08-08 12:27:04,22.75,49.51
2024-08-08 12:27:34,22.77,49.5
2024-08-08 12:28:04,22.78,49.5
2024-08-08 12:28:34,22.8,49.5
2024-08-08 12:29:04,22.82,49.51
2024-08-08 12:29:34,22.83,49.52
2024-08-08 12:30:04,22.85,49.54
2024-08-08 12:30:34,22.87,49.56
2024-08-08 12:31:04,22.88,49.58
2024-08-08 12:31:34,22.9,49.61
2024-08-08 12:32:04,22.92,49.65
2024-08-08 12:32:34,22.93,49.68
2024-08-08 12:33:04,22.95,49.72
2024-08-08 12:33:34,22.97,49.77
2024-08-08 12:34:04,22.98,49.81
